[0.00s -> 19.84s]  Yes, Mr. Beer.
[452.22s -> 459.14s]  a proposal that was much narrower in scope, that only looked at a sample of past cases
[459.14s -> 463.76s]  rather than auditing the Horizon system as a whole?
[463.76s -> 468.20s]  Well, from a personal point of view, I would say that was absolutely not the case.
[468.20s -> 472.72s]  I have no recollection of that at all.
[472.72s -> 476.86s]  You agree, I think, cutting to the chase, that it would have been preferable, looking
[476.86s -> 485.60s]  back now, had Deloitte been chosen, because their proposal may or even would have brought
[485.60s -> 491.84s]  to the surface, if carried through to its conclusion, many of the issues that were subsequently
[491.84s -> 493.16s]  discovered.
[493.16s -> 500.60s]  I think the operative word is may. I have reflected on that. Whether Deloitte would
[500.60s -> 505.94s]  in fact have surfaced some of the other important areas that Second Sight did, I don't know,
[505.94s -> 511.44s]  because I think one of the other outcomes of this has been the right decision was looking
[511.44s -> 516.14s]  at the contract, and that may not have surfaced through the Deloitte work, which was particularly
[516.14s -> 520.60s]  focused on the system itself.
[520.60s -> 525.16s]  Can we look, please, at the terms of reference, or at least an early copy of the terms of
[525.16s -> 543.36s]  reference that were settled for second site, poll 3096576.
[543.36s -> 552.32s]  And if we just blow that up, please, you'll see that this is a second site document.
[552.32s -> 558.52s]  And it is, quote, a proposal to carry out an independent review of past fraud and theft
[558.52s -> 565.08s]  cases in order to determine whether the facts support the business's findings and the charges
[565.08s -> 570.32s]  brought against individuals.
[570.32s -> 579.20s]  And then if we go to the detail on page five, please.
[579.20s -> 587.20s]  Can you see that the proposal is for a case review, and the case review will include the
[587.20s -> 597.40s]  following tasks, said second site, selecting a representative sample of cases that have
[597.40s -> 605.96s]  led to prosecutions, court-appointed restitution. The sample needs to cover cases where defendants
[605.96s -> 612.48s]  claim they didn't take any cash, where assertions have been made that the system, i.e. Horizon,
[612.48s -> 618.20s]  caused the shortage, including old and new versions of Horizon, if possible, and which
[618.20s -> 623.16s]  have been taken up by MPs.
[623.16s -> 629.06s]  And then if you look at the last or the second to last bullet point, study and selectively
[629.06s -> 636.68s]  test the Horizon system in order to find any black hole, program bug, et cetera, that might
[636.68s -> 643.36s]  have caused mysterious shortages.
[643.36s -> 650.88s]  What's described there, selecting a representative sample of cases that led to prosecutions or
[650.88s -> 658.20s]  court-appointed restitutions and then study and selectively test the Horizon system in
[658.20s -> 664.68s]  order to find bugs for shorthand that may have caused mysterious shortages.
[664.68s -> 667.24s]  Was exactly what was needed, wasn't it?
[667.24s -> 668.28s]  Yes.
[668.28s -> 674.16s]  It didn't happen though, did it?
[674.16s -> 682.12s]  The work that the post office and second site did over this quite a long period of time
[682.12s -> 686.08s]  didn't come to a final conclusion, no.
[686.08s -> 691.28s]  It didn't and we're not talking about the mediation scheme yet because that was a second
[691.28s -> 693.36s]  piece of work essentially.
[693.36s -> 701.16s]  We're talking about the events that led to the interim report in July 2013, that's what
[701.16s -> 709.96s]  this proposal is about. A representative sample of cases that led to prosecutions was not
[709.96s -> 714.04s]  selected, was it?
[714.04s -> 725.84s]  I don't recall the cases that were selected. Looking at this today, I don't recall the
[725.84s -> 733.88s]  a narrow focus on prosecution and court-appointed restitution. My recollection is that we were
[733.88s -> 740.20s]  looking at a broad sample of cases, of which some were cases with criminal convictions.
[740.20s -> 743.36s]  I thought it was broader than that. I don't recall it as being that narrow.
[743.36s -> 746.84s]  We'll see how things got changed by the post office.
[746.84s -> 749.00s]  Right, okay.
[749.00s -> 755.76s]  in the events which happened, i.e. over time, would you agree that if what is described
[755.76s -> 765.24s]  here in those two bullet points that I have identified had in fact been undertaken, again,
[765.24s -> 776.48s]  there is, to use the may word, a possibility that the decade that followed until faults
[776.48s -> 783.92s]  in Horizon and the miscarriages of justice identified by the Court of Appeal may have
[783.92s -> 784.92s]  been discovered earlier?
[784.92s -> 792.58s]  I think that is a possibility. I saw in the inquiry documentation that there is a piece
[792.58s -> 798.64s]  of advice that Susan Crichton sought from Richard Morgan, QC, where he said that he
[798.64s -> 803.52s]  thought that the advice was that the post office really shouldn't get into this at
[803.52s -> 806.56s]  at all, because it would be a no-win situation.
[806.56s -> 807.56s]  It would open the floodgates.
[807.56s -> 809.44s]  It would open the floodgates.
[809.44s -> 811.76s]  Well, I think he made two conclusions from memory.
[811.76s -> 812.88s]  That was one, and I can't remember
[812.88s -> 814.12s]  what the other one was.
[814.12s -> 817.80s]  But my reflection, as I read this recently,
[817.80s -> 820.40s]  was that, first of all, I didn't know
[820.40s -> 822.36s]  that she had taken that advice.
[822.36s -> 825.24s]  And it came up later, a year later,
[825.24s -> 828.12s]  when she and I had a conversation about her wanting
[828.12s -> 828.96s]  to leave the business.
[828.96s -> 831.80s]  And I suspect we may come onto that.
[831.80s -> 835.88s]  But when I look at that advice now,
[835.88s -> 838.88s]  I think it is a great pity that we didn't know about that
[838.88s -> 842.28s]  because we may have approached this differently.
[842.28s -> 844.40s]  And can you explain why?
[844.40s -> 848.08s]  I had you, and I think you mean the executive and the board.
[848.08s -> 848.92s]  Yes, yes.
[848.92s -> 850.96s]  Known about Richard Morgan's advice,
[850.96s -> 855.00s]  you may have approached things differently in what way?
[855.00s -> 858.32s]  In that we may well have focused completely separate,
[858.32s -> 861.08s]  understanding the advice he gave,
[861.08s -> 866.70s]  that we may have focused very differently on what we called in shorthand the criminal
[866.70s -> 875.70s]  cases, because they needed to be reviewed differently to others that were not criminal
[875.70s -> 883.40s]  cases. And what we ended up with was a scheme that tried to respond to a variety of different
[883.40s -> 886.68s]  cases and themes.
[886.68s -> 891.90s]  Let's look at what the Post Office did in relation, in particular, to criminal cases.
[891.90s -> 895.22s]  That document can come down, please.
[895.22s -> 901.50s]  I turn to a couple of days after the meeting of the 7th of June to the 9th of June, poll
[901.50s -> 930.06s]  3 0 9 6 6 0 6. If you forgive me one moment. If we look at the foot of the page, please.
[930.06s -> 941.94s]  There is an email from Alice Perkins of the 9th of June, 9.36, to you. And she says, following
[941.94s -> 947.26s]  a conversation with Alwyn yesterday, given I'm away for a few days, I thought I should
[947.26s -> 954.18s]  let you know before I went where I stand on which cases should be in or out of this review.
[954.18s -> 957.74s]  I've given this more thought since yesterday.
[957.74s -> 961.90s]  I am clear that we should include all, in capital letters,
[961.90s -> 965.22s]  the MP's cases, irrespective of whether they
[965.22s -> 967.86s]  have been decided in court.
[967.86s -> 970.18s]  If we try to draw a distinction here,
[970.18s -> 973.38s]  we will be accused of picking cases to suit ourselves
[973.38s -> 976.66s]  and being vulnerable on the ones we omit.
[976.66s -> 980.10s]  We'll have a row about that instead of moving the issue on.
[984.18s -> 989.24s]  On reflection, I don't buy the argument that we would somehow undermine the court process
[989.24s -> 990.24s]  by doing this.
[990.24s -> 995.78s]  There are plenty of ways in which people can go over ground which has been settled in court,
[995.78s -> 999.90s]  and if there weren't, no one would ever be able to get a conviction overturned.
[999.90s -> 1005.08s]  And if, which we don't believe, there were new evidence in a case which had been decided,
[1005.08s -> 1010.78s]  we would want to do and be seen to do the right thing by that.
[1010.78s -> 1023.18s]  And if we scroll up the page, we see you replying in the bottom part of the page, which I think
[1023.18s -> 1026.94s]  is about admin, essentially.
[1026.94s -> 1027.94s]  And then...
[1027.94s -> 1030.78s]  I think it says I wasn't part of the discussion, doesn't it?
[1030.78s -> 1031.78s]  Yes.
[1031.78s -> 1032.78s]  Yes.
[1032.78s -> 1045.14s]  little bit further up or when replies to you, and I think to you alone, Paula, in case Susan
[1045.14s -> 1052.50s]  doesn't pick this up, but she's in Berlin and before you speak to Alice, the issue that
[1052.50s -> 1058.94s]  came to light with the list of MP cases was that they included the Mishra, I think that's
[1058.94s -> 1064.02s]  Seema Misra, you will remember the case and the publicity.
[1064.02s -> 1068.02s]  She went to prison and had her baby whilst in there.
[1068.02s -> 1071.98s]  The husband got publicity through radio and press.
[1071.98s -> 1075.26s]  Susan's anxiety, and she raised this at the meeting
[1075.26s -> 1080.02s]  with Alice before you joined, was whether now contacting her
[1080.02s -> 1085.38s]  to tell her we review the case would be a red rag to a bull.
[1085.38s -> 1089.82s]  Alice feels this is the business pushing back unnecessarily.
[1089.82s -> 1092.58s]  And she feels this happened throughout the process.
[1092.58s -> 1096.26s]  And she is having to keep pushing us.
[1096.26s -> 1098.82s]  Susan's getting external advice on the effect
[1098.82s -> 1101.18s]  that this would have on cases which have
[1101.18s -> 1104.82s]  been brought through the courts.
[1104.82s -> 1106.38s]  There's quite a lot in there.
[1109.42s -> 1114.30s]  Did you agree with Alice Perkins that all cases should
[1114.30s -> 1119.38s]  be included in the independent review, even if they involved criminal convictions?
[1119.38s -> 1124.74s]  Yes, I wasn't making any distinction.
[1124.74s -> 1134.50s]  Did you agree with Alice Perkins that the business was pushing back unnecessarily against
[1134.50s -> 1136.34s]  that?
[1136.34s -> 1138.62s]  I don't think I knew that.
[1138.62s -> 1144.64s]  I think this is, so I, the bit of admin that we skipped over is I say that I'll call Alice,
[1144.64s -> 1149.62s]  which I did, and I think she explained to me the conversation that she had had.
[1149.62s -> 1153.82s]  And from what I've seen in documentation, clearly, there was an awful lot of consideration
[1153.82s -> 1158.90s]  going on about what should and shouldn't happen, which I was not in the loop on.
[1158.90s -> 1165.86s]  Who would be the business that was pushing back unnecessarily against the chair?
[1165.86s -> 1171.34s]  Well, the only thing that I can think is relating back to this piece of advice that Susan sought
[1171.34s -> 1177.52s]  from Richard Morgan, which was very clear advice to her, and one assumes that she would
[1177.52s -> 1181.08s]  have – she was in a meeting, she discussed it in a meeting, and one assumes that that
[1181.08s -> 1188.28s]  must have alerted her to maybe needing to take a different approach with cases like
[1188.28s -> 1194.42s]  Mrs. Miserice, for instance, but I wasn't involved in those conversations.
[1194.42s -> 1203.98s]  And there is a further pushback, I can't remember if it's before this or after, where the terms
[1203.98s -> 1212.02s]  of reference which are prepared by, again, I think, Susan, refer to defence documents,
[1212.02s -> 1216.54s]  and Alice comes back and says, no, it should be all of the documentation.
[1216.54s -> 1224.46s]  So, the business here, you take pushing back unnecessarily, you take to mean shorthand
[1224.46s -> 1226.06s]  for Susan Crichton?
[1226.06s -> 1227.06s]  For the legal team, yes.
[1227.06s -> 1230.74s]  I think it was Susan Crichton and Hugh Flemington who were at the meeting.
[1230.74s -> 1235.82s]  It says that this has happened, it's Alice's view that this has happened throughout the
[1235.82s -> 1237.82s]  process.
[1237.82s -> 1246.34s]  Was that a view that you were aware of, that the business was pushing back unnecessarily
[1246.34s -> 1249.50s]  against a review throughout the process?
[1249.50s -> 1252.14s]  Not until I spoke to Alice, which I did, I think,
[1252.14s -> 1253.26s]  on the Saturday morning.
[1253.26s -> 1254.10s]  I was concerned.
[1254.10s -> 1256.98s]  And so if a chairman raises issues like this,
[1256.98s -> 1260.42s]  I wanted to know what had arisen.
[1260.42s -> 1262.30s]  Did you think that Mrs. Misra's case
[1262.30s -> 1266.74s]  should be included in an independent review?
[1266.74s -> 1269.34s]  I wasn't even involved in the conversation about that.
[1269.34s -> 1273.34s]  My view was that all the cases that had come forward
[1273.34s -> 1277.34s]  through Lord Arbuthnot and then and thereafter from other MPs,
[1278.30s -> 1280.14s]  we were going to review all of the cases.
[1281.02s -> 1284.30s]  Did you share Miss Crichton's concerns recorded here
[1284.86s -> 1288.94s]  that even contacting Miss Misra would be a red rag to a bull?
[1290.14s -> 1290.64s]  No.
[1292.78s -> 1300.70s]  Did you know that post office was getting external advice on the effect
[1300.70s -> 1304.70s]  that bringing such cases within the review would have?
[1308.22s -> 1313.98s]  Well, clearly I did in the sense that Alwyn mentions it in the final line on this email.
[1314.94s -> 1322.14s]  I don't at that stage think I would have asked more about it because the situation was resolved
[1322.14s -> 1327.10s]  in that all of the cases were going to come in. If Susan was seeking advice on something
[1327.10s -> 1332.72s]  of a legal nature, A, I would expect her to do that, and then I would listen to whatever
[1332.72s -> 1336.52s]  that advice was.
[1336.52s -> 1343.08s]  Do you know what external advice the post office did take regarding the effect of including
[1343.08s -> 1347.32s]  cases like SEMA misers in the independent review?
[1347.32s -> 1348.64s]  I don't think so.
[1348.64s -> 1351.60s]  I certainly didn't see the Richard Morgan advice.
[1351.60s -> 1353.00s]  I don't think there was a written advice.
[1353.00s -> 1354.00s]  There was a meeting with him.
[1354.00s -> 1355.84s]  There was a meeting note, right, yeah.
[1355.84s -> 1358.88s]  I don't think I did, no.
[1358.88s -> 1362.04s]  Have you got a date readily to hand to remind me
[1362.04s -> 1365.12s]  of when that was, Mr. P?
[1365.12s -> 1368.04s]  Given a moment, I probably could.
[1368.04s -> 1369.52s]  I'm sure we'll find it between us.
[1369.52s -> 1372.04s]  Don't take yourself out of your stride.
[1372.04s -> 1374.08s]  Thank you.
[1374.08s -> 1376.32s]  Did you know the substance of the advice,
[1376.32s -> 1379.28s]  the external advice, that was given?
[1379.28s -> 1382.12s]  No, not until I read it in preparation for the inquiry.
[1385.84s -> 1399.52s]  Did you and therefore the board not take the advice given, as you now know, by Richard
[1399.52s -> 1406.04s]  Morgan Casey into account in deciding the scope of Second Sight's review?
[1406.04s -> 1412.16s]  No, I don't believe, you would have to ask Alice Perkins, but I don't believe that Alice
[1412.16s -> 1420.06s]  as Perkins, all the board knew of that advice, but Susan had had a conversation with Alice
[1420.06s -> 1426.36s]  that I was not involved in, so it's possible it was shared in that meeting, but my understanding
[1426.36s -> 1431.02s]  is not.
[1431.02s -> 1452.22s]  Thank you. Can we move on into 2013, please? And look at poll 0010-0200. This is a minute,
[1452.22s -> 1458.86s]  I think, from, as we can see, David, Oliver, to you, copied to others, of the 5th of February
[1458.86s -> 1464.30s]  2013. Can you explain who David Oliver was, please?
[1464.30s -> 1476.50s]  David Oliver, I believe, was on a short-term contract, maybe a year or two. He was either
[1476.50s -> 1480.84s]  a consultant with PA Consulting or had left them and came to the Post Office and was working
[1480.84s -> 1488.50s]  on the Project Sparrow work. In fact, looking at the list, what date is this, please?
[1488.50s -> 1490.50s]  of February 2013.
[1490.50s -> 1492.50s]  2013.
[1492.50s -> 1500.10s]  No, I, no, he was working on the Sparrow project.
[1500.10s -> 1507.34s]  He sends this minute to you and others regarding essentially options that the post office could
[1507.34s -> 1510.54s]  take to deliver the scheme in a timely fashion.
[1510.54s -> 1512.18s]  You can see that there.
[1512.18s -> 1513.18s]  Yes.
[1513.18s -> 1516.38s]  In, under summary.
[1516.38s -> 1520.48s]  We identified three broad courses of action that might be taken to improve the ability
[1520.48s -> 1529.46s]  of post office successfully to deliver the mediation scheme in a timely fashion.
[1529.46s -> 1534.96s]  Can we look at page two, please?
[1534.96s -> 1541.82s]  And scroll down to what was the third option, plan C, a contingency plan to replace second
[1541.82s -> 1554.74s]  site if they refuse to work on the scheme under terms which the post office find acceptable.
[1554.74s -> 1558.74s]  Engagement of a professional accountancy firm such as Grant Thornton to replace second site
[1558.74s -> 1565.22s]  entirely. It's possible that second site will refuse to work under the proposed terms
[1565.22s -> 1570.90s]  of engagement from the post office and that they may attempt to insist terms that neither
[1570.90s -> 1577.20s]  you or the board can accept. In this scenario, they may either walk away from the scheme
[1577.20s -> 1584.08s]  or post office may have to end their engagement. Was it the case that despite their appointment
[1584.08s -> 1593.40s]  in mid 2012, no terms of reference or terms of engagement had been settled by February
[1593.40s -> 1596.28s]  2013 for second site?
[1596.28s -> 1600.00s]  I don't know about terms of engagement.
[1600.00s -> 1608.60s]  I do know that terms of reference were drawn up.
[1608.60s -> 1609.68s]  Engagement, I don't know.
[1609.68s -> 1611.12s]  That wouldn't have been something
[1611.12s -> 1615.04s]  that I would have been involved in.
[1615.04s -> 1618.04s]  By this time, was it anticipated that SecondSight
[1618.04s -> 1623.24s]  would refuse to work under the terms of engagement
[1623.24s -> 1625.88s]  that the post office required?
[1625.88s -> 1627.44s]  It seems to say so here.
[1627.44s -> 1631.44s]  I don't recall being aware of that, presumably,
[1631.44s -> 1635.28s]  until this is presented to me.
[1635.28s -> 1638.96s]  And I'm not entirely sure what that refers to.
[1638.96s -> 1642.24s]  Do you know which of these options was chosen?
[1642.24s -> 1645.12s]  Do you want to look back at options A and B, please?
[1645.12s -> 1646.16s]  On page one, please.
[1651.24s -> 1654.28s]  A was clarification of second site's engagement.
[1654.28s -> 1668.88s]  Yes. I think A and B, actually. So, my recollection at this stage is that there were concerns
[1668.88s -> 1679.96s]  from the team that very few cases had been reviewed. We were, the time was being extended
[1679.96s -> 1684.44s]  and therefore the cost extended, and I think that was the main concern, is that the work
[1684.44s -> 1689.84s]  for whatever reason wasn't being completed, and I was given a number of options.
[1689.84s -> 1696.54s]  I'm sorry, I don't remember the discussion, but my sense is that it was, we want a second
[1696.54s -> 1698.96s]  site to see this work through.
[1698.96s -> 1704.74s]  It would have been difficult to stand somebody else up, I think, and anyway, they had the
[1704.74s -> 1708.32s]  commitment of Lord Arbuthnot and the MPs.
[1708.32s -> 1713.32s]  And I do think we brought in or changed the way they worked in some way to help them.
[1713.32s -> 1717.48s]  But I may be confusing that with the mediation scheme because this issue of time and cost
[1717.48s -> 1722.60s]  overrun was a fairly frequent topic of conversation.
[1722.60s -> 1730.26s]  Can we move forwards to later in 2013, still before their interim report was produced,
[1730.26s -> 1740.26s]  by looking at poll 309-8437.
[1740.26s -> 1744.06s]  And looking at page two, please.
[1744.06s -> 1747.86s]  If we just look at the foot of page one,
[1747.86s -> 1756.06s]  we'll see an email from Mr. Bates to you of the 21st of May 2013.
[1756.06s -> 1757.66s]  And he says, hello, Paula.
[1757.66s -> 1761.86s]  a while since we met at James R. Buffnot's office, but at that time, you did say that
[1761.86s -> 1767.98s]  if I had any concerns, I should contact you directly, hence the reason for this email.
[1767.98s -> 1772.58s]  Would it be possible for Kay Linnell and I to meet you? You'll recall that Kay is an
[1772.58s -> 1778.26s]  independent forensic accountant who, on behalf of JFSA, has been monitoring the work Second
[1778.26s -> 1782.70s]  Sight has been undertaking. The main purpose of the meeting is to ensure that you have
[1782.70s -> 1789.66s]  been receiving the full details of what has been occurring with the second site investigation.
[1789.66s -> 1794.28s]  Bearing in mind what has been discovered so far, I for one am surprised that we haven't
[1794.28s -> 1797.10s]  yet met to discuss the implications.
[1797.10s -> 1803.30s]  Whilst I appreciate the majority of the issues began under previous regimes, and you've expressed
[1803.30s -> 1808.22s]  a genuine willingness to address the concerns that JFSA has been raising, these issues are
[1808.22s -> 1809.22s]  still continuing.
[1809.22s -> 1814.46s]  I've little doubt it's now feasible to show that many of the prosecutions that the post
[1814.46s -> 1818.08s]  officers pressed home should never have taken place.
[1818.08s -> 1825.72s]  I believe this is a view shared by Kay.
[1825.72s -> 1832.34s]  At this point in time, did you understand why Mr. Bates was saying that it was feasible
[1832.34s -> 1840.10s]  that many prosecutions that the post office had undertaken should never have taken place?
[1840.10s -> 1845.32s]  I don't believe I did because we were still waiting, the work was still very much a work
[1845.32s -> 1847.54s]  in progress.
[1847.54s -> 1856.74s]  Had any of the in progress work been fed back to you, i.e. provisional views, what it was
[1856.74s -> 1862.24s]  showing, early themes, emerging issues?
[1862.24s -> 1869.36s]  Not that I can recall with any clarity, I, because I remember being surprised about,
[1869.36s -> 1872.08s]  I think slightly, what is the date of this, please?
[1872.08s -> 1873.08s]  Twenty-first of May.
[1873.08s -> 1874.08s]  Of May.
[1874.08s -> 1881.76s]  Maybe not too long after this, but as we were approaching the production of the interim report,
[1881.76s -> 1887.12s]  I remember being surprised about some of the conclusions that were being reached, because
[1887.12s -> 1891.44s]  the criticisms from post office were that their work hadn't been taken into account.
[1891.44s -> 1899.72s]  I think at this stage, possibly not, other than feedback that the work was going too
[1899.72s -> 1905.84s]  slowly and post office's input either hadn't taken place or second site, there were concerns
[1905.84s -> 1912.88s]  being raised perhaps that second site were not taking account of it.
[1912.88s -> 1920.10s]  Would you have been very concerned reading an email like this that the person representing
[1920.10s -> 1926.30s]  a key stakeholder, JFSA, was saying that the prosecutions and many of them that the post
[1926.30s -> 1931.78s]  office had brought ought never to have taken place.
[1931.78s -> 1937.20s]  I was concerned to get the email from Alan, certainly. The point he's making about the
[1937.20s -> 1943.34s]  prosecutions was the point that the JFSA had made for, I know for a number of years, but
[1943.34s -> 1947.02s]  that wasn't new news to me at this stage.
[1947.02s -> 1950.94s]  Is that how you would have thought of it, that this is just Mr Bates saying something
[1950.94s -> 1951.94s]  that he's always said?
[1951.94s -> 1953.02s]  No, not at all.
[1953.02s -> 1961.30s]  I think that I went back to my team and said, because I had said to Mr Bates that if he
[1961.30s -> 1963.62s]  needed to, he should get in touch.
[1963.62s -> 1968.06s]  So I don't know if there's documentation on this, but I'm pretty sure that I went
[1968.06s -> 1972.02s]  back to the team and said, what should we do about this?
[1972.02s -> 1974.62s]  I've offered to meet Mr Bates.
[1974.62s -> 1976.62s]  What is your view?
[1976.62s -> 1983.14s]  Had you been given any inkling that anything had emerged that might undermine the safety
[1983.14s -> 1985.14s]  of convictions?
[1985.14s -> 1987.64s]  No.
[1987.64s -> 1994.10s]  If we go to page one, please, we'll see your reply.
[1994.10s -> 2005.30s]  And if we scroll up, you say, I am second paragraph happy to meet, but can't make the
[2005.30s -> 2010.74s]  suggested date and then the third paragraph, my understandings were too early in the investigation
[2010.74s -> 2015.62s]  to suggest that things have been discovered which call into question the integrity of
[2015.62s -> 2020.74s]  the system or the validity of the prosecutions and to suggest that at this stage would be
[2020.74s -> 2030.36s]  wrong. In order to say that, you must have been told would this be right, the stage at
[2030.36s -> 2036.50s]  which the investigation had reached and whether it was possible to say that the integrity
[2036.50s -> 2043.68s]  of the system or the validity of prosecutions had even at that stage been called into question.
[2043.68s -> 2044.68s]  Yes.
[2044.68s -> 2049.16s]  And who were you getting that feedback from?
[2049.16s -> 2054.56s]  At this stage I would have talked to whoever was leading the work on this, so Susan Crichton,
[2054.56s -> 2059.36s]  Alwyn Lyons, I can't remember who else.
[2059.36s -> 2061.28s]  Simon Baker, presumably David Oliver,
[2061.28s -> 2062.84s]  whose name we've seen.
[2062.84s -> 2066.08s]  And so were you then getting feedback
[2066.08s -> 2071.20s]  on the state of the investigation by second side
[2071.20s -> 2074.84s]  in order to be able to say, essentially, Mr. Bates,
[2074.84s -> 2075.92s]  you're jumping the gun?
[2075.92s -> 2079.72s]  I'm almost certain that when I got Alan's note
[2079.72s -> 2083.36s]  that I went to the team and said, I've had this note.
[2083.36s -> 2089.90s]  what's the current status, and as I say here, I would like to meet with Mr. Bates. So I
[2089.90s -> 2092.36s]  suspect that's where I got that information from.
