sentence_index,entity_raw,entity_normalised,category,sentence_text
101,Horizon,Horizon,Technical System,"Well, the need to rely on the integrity of Horizon in order to be able to, if you like, control the network of subpostmasters, their agents, to be able to exercise or to carry out that sort of level of control, to have it known that the Horizon system was unreliable or that the supplier of the Horizon system, Fujitsu, or that the user of it, the purchaser of it, Post Office, was— could not be relied upon, would mean that all hell would break loose in the branch network."
101,Fujitsu,Fujitsu,Organisation,"Well, the need to rely on the integrity of Horizon in order to be able to, if you like, control the network of subpostmasters, their agents, to be able to exercise or to carry out that sort of level of control, to have it known that the Horizon system was unreliable or that the supplier of the Horizon system, Fujitsu, or that the user of it, the purchaser of it, Post Office, was— could not be relied upon, would mean that all hell would break loose in the branch network."
101,Post Office,Post Office,Organisation,"Well, the need to rely on the integrity of Horizon in order to be able to, if you like, control the network of subpostmasters, their agents, to be able to exercise or to carry out that sort of level of control, to have it known that the Horizon system was unreliable or that the supplier of the Horizon system, Fujitsu, or that the user of it, the purchaser of it, Post Office, was— could not be relied upon, would mean that all hell would break loose in the branch network."
104,the Post Office,Post Office,Organisation,I warned the Post Office top brass of that possibility from day zero.
108,Post Office,Post Office,Organisation,"The inquiry has seen a number of internal Post Office documents that show that at least in 2013, individuals within the Post Office were contemplating minimising the role of Second Sight or ending the role of Second Sight completely."
108,Sight,Second Sight,Organisation,"The inquiry has seen a number of internal Post Office documents that show that at least in 2013, individuals within the Post Office were contemplating minimising the role of Second Sight or ending the role of Second Sight completely."
109,Post Office,Post Office,Organisation,You've described in your witness statement a ferocious pushback from the Post Office during your investigation.
110,Post Office,Post Office,Organisation,Do you think there was ever a time when the Post Office staff were cooperating with your investigation fully?
111,Susan Crichton,Susan Crichton,Individual,"Oh yes, initially the response from Susan Crichton and from Simon Baker, the young IT expert that was assigned to help us to get access to data, Attitudinally had exactly the right— they definitely shared our, or they appeared to share our objective of seeking the truth regardless of consequences."
111,Simon Baker,Simon Baker,Individual,"Oh yes, initially the response from Susan Crichton and from Simon Baker, the young IT expert that was assigned to help us to get access to data, Attitudinally had exactly the right— they definitely shared our, or they appeared to share our objective of seeking the truth regardless of consequences."
114,Ian,Ian,Individual,"It was pretty clear that as soon as Ian came to me and said, look what I've found, I'm finding some really odd stuff in these legal files."
119,Ian,Ian,Individual,What was the odd stuff that Ian was finding?
122,Post Office,Post Office,Organisation,"One of the accusations that is levied against Second Sight very frequently in the internal Post Office material, and it sometimes breaks out into things said, for example, to James Arbuthnot and then subsequently to Sir Anthony Hooper, is that one of the chief problems with your investigation was that the slow pace at which it was proceeding."
122,James Arbuthnot,James Arbuthnot,Individual,"One of the accusations that is levied against Second Sight very frequently in the internal Post Office material, and it sometimes breaks out into things said, for example, to James Arbuthnot and then subsequently to Sir Anthony Hooper, is that one of the chief problems with your investigation was that the slow pace at which it was proceeding."
122,Anthony Hooper,Anthony Hooper,Individual,"One of the accusations that is levied against Second Sight very frequently in the internal Post Office material, and it sometimes breaks out into things said, for example, to James Arbuthnot and then subsequently to Sir Anthony Hooper, is that one of the chief problems with your investigation was that the slow pace at which it was proceeding."
127,Post Office,Post Office,Organisation,"And the need to wait for evidence to be produced by Post Office, which was taking much longer than we had ever expected it to."
129,Beer,Beer,Individual,"Well, part of it, I think, Mr Beer, was because Post Office"
129,Post Office,Post Office,Organisation,"Well, part of it, I think, Mr Beer, was because Post Office"
131,Post Office,Post Office,Organisation,"Post Office seemed to be excessively siloed with different departments, each of which would have some but not all of the information."
132,Simon Baker,Simon Baker,Individual,"And so gathering in the information, which Simon Baker was helping us to do, just proved to be like swimming up a waterfall."
139,Fujitsu,Fujitsu,Organisation,"An example of a conflict within a report would be the issue regarding Fujitsu's Bracknell office, i.e., the Post Office denying that Michael Rudkin had ever arrived at the meeting he said he'd been invited to."
139,Post Office,Post Office,Organisation,"An example of a conflict within a report would be the issue regarding Fujitsu's Bracknell office, i.e., the Post Office denying that Michael Rudkin had ever arrived at the meeting he said he'd been invited to."
139,Michael Rudkin,Michael Rudkin,Individual,"An example of a conflict within a report would be the issue regarding Fujitsu's Bracknell office, i.e., the Post Office denying that Michael Rudkin had ever arrived at the meeting he said he'd been invited to."
140,Michael,Michael,Individual,"I encouraged Michael to search through his emails to locate the original invitation, which fortunately he found."
141,Post Office,Post Office,Organisation,"I'd requested this email from the Post Office multiple times, but they— but they said they could not find it."
148,Rudkin,Rudkin,Individual,"of Mr. Rudkin and seeking an email that might have confirmed his presence on Fujitsu's premises in Bracknell, as he said."
148,Fujitsu,Fujitsu,Organisation,"of Mr. Rudkin and seeking an email that might have confirmed his presence on Fujitsu's premises in Bracknell, as he said."
151,Post Office,Post Office,Organisation,"So— and much of it revolved around what Post Office was asserting, with some justification, was inadequately evidenced remarks that we were making."
154,Post Office,Post Office,Organisation,"And Post Office was saying, well, hang on a minute, you can't— you're just spouting anecdotal evidence given to you by a few postmasters."
158,the Post Office's,Post Office,Organisation,And then we were getting the— what became almost like a mantra of the Post Office's position is that we would have— our procedures would have ensured that this had happened.
161,Post Office,Post Office,Organisation,Matters that ordinarily I would have had zero difficulty in communicating in conversations like this just seemed to be beyond the ken of the people in Post Office.
169,Post Office,Post Office,Organisation,Did the Post Office seek to influence the drafting of your final CRR reports?
169,CRR,CRR,Organisation,Did the Post Office seek to influence the drafting of your final CRR reports?
175,Post Office,Post Office,Organisation,"So it was unusual to have any report that wasn't completely clear, and yet Post Office seemed to find reason to challenge just about everything we said."
178,Henderson,Ian Henderson,Individual,"You probably realise that Mr Henderson and I, and in fact our colleagues, are not easily— not necessarily for turning, so there were some pretty intense scraps, but we obviously listened to and tried to accommodate the changes they were requesting, and certainly where we'd made mistakes, we corrected them."
179,Henderson,Ian Henderson,Individual,"In his witness statement, Mr Henderson said, it's page 22, paragraph 71, to the credit of the Post Office, they, the Post Office, did not try to directly interfere with or influence Second Sight's reports other than by withholding potentially relevant documents."
179,the Post Office,Post Office,Organisation,"In his witness statement, Mr Henderson said, it's page 22, paragraph 71, to the credit of the Post Office, they, the Post Office, did not try to directly interfere with or influence Second Sight's reports other than by withholding potentially relevant documents."
182,Ian,Ian,Individual,"I mean, I was involved in a lot more of the— if you like, what Ian himself would refer to as having been down in the weeds and dealing with a lot of the accounting issues in minute detail."
184,Henderson,Ian Henderson,Individual,"I was going to ask you, what was the division of responsibilities between you and Mr Henderson?"
187,Ian,Ian,Individual,"Ian is a specialist in documentation, computers, evidence handling."
189,James Arbuthnot,James Arbuthnot,Individual,"It made sense for him to be on site at Old Street, whereas I was haring around the country making face-to-face contact with the subpostmasters, which of course I'd been asked to do by James Arbuthnot and his colleagues."
190,Ian,Ian,Individual,"So it was very clear that— and I omitted to mention that of course Ian had had that very valuable experience with the CCRC, so I had far less knowledge of criminal procedure than he did, but neither of us put ourselves forward as lawyers."
190,CCRC,CCRC,Organisation,"So it was very clear that— and I omitted to mention that of course Ian had had that very valuable experience with the CCRC, so I had far less knowledge of criminal procedure than he did, but neither of us put ourselves forward as lawyers."
193,Paragraph 58,Paragraph 58,Organisation,"Can we move forward please to Paragraph 58 of your witness statement, which is on page 28."
197,MPs,MPs,Organisation,"And you say, we in Second Sight held the view that those concerns that have been so clearly expressed by the MPs and their equally clear expectation we would be investigating them had certainly not gone away, but that our interim report was to focus in the main on the narrow issue of systemic flaws in Horizon."
198,MPs,MPs,Organisation,"The inference and our understanding was that the original far wider scope had simply— had never simply vaporised, and that we were still expected by the MPs and by the JFSA to address them."
199,the Post Office,Post Office,Organisation,"On reflection, it would have been helpful had we included words to that effect in our interim report, although it seems now to be pretty obvious that the Post Office would have fought hard to avoid conceding that."
200,the Post Office,Post Office,Organisation,"It's now clear that the Post Office really had hoped that after Second Sight's interim report, report, that wider scope investigation, that would simply never happen."
200,Second Sight's,Second Sight,Organisation,"It's now clear that the Post Office really had hoped that after Second Sight's interim report, report, that wider scope investigation, that would simply never happen."
206,Ian,Ian,Individual,"Well, Ian referred to this earlier."
208,Post Office,Post Office,Organisation,"In fact, that terminology was accepted by Post Office."
213,Bearer,Bearer,Individual,"If that's what I've said, Mr. Bearer, I've got it the wrong way around, because job one was the— unsurprisingly, the first piece of work which the MPs had asked us to do."
213,MPs,MPs,Organisation,"If that's what I've said, Mr. Bearer, I've got it the wrong way around, because job one was the— unsurprisingly, the first piece of work which the MPs had asked us to do."
224,the Post Office's,Post Office,Organisation,"Well, I have expressed that the way I intended to, but I think the confusion that I've allowed to creep in here, for which I apologise, is that the Post Office's understanding of the mediation scheme was that that, in a sense, in a sense displaced, vaporised the original work that we'd been asked to carry out."
226,Post Office,Post Office,Organisation,"We, as far as we were concerned, the initial request by the MPs to— which involved, quote, taking the JFSA along with us, had definitely not gone away, but Post Office completely disagreed with that position."
229,Horizon,Horizon,Technical System,"That the first of those, which is reflected in the interim report, focused on the existence or non-existence of system-wide or systemic problems with Horizon?"
230,Beer,Beer,Individual,"Yes, Mr. Beer, but I think the point that has been confusing everybody is that job one was actually very broad, but that the interim report was not— it probably should have been, but it was not an attempt to answer all of those broad questions that had been posed by the MPs, At that point we'd been asked to just produce a report, the interim report, on these narrow issues."
230,MPs,MPs,Organisation,"Yes, Mr. Beer, but I think the point that has been confusing everybody is that job one was actually very broad, but that the interim report was not— it probably should have been, but it was not an attempt to answer all of those broad questions that had been posed by the MPs, At that point we'd been asked to just produce a report, the interim report, on these narrow issues."
233,the Post Office,Post Office,Organisation,"I was about to ask, was it a request of the Post Office that led to the production of the interim report?"
236,the Post Office,Post Office,Organisation,"Well, because it wasn't just the Post Office that was communicating that."
242,MPs,MPs,Organisation,"We would have continued to do the work that the MPs had asked us to do, which had been covered in my original proposal of work, which had never been other than acknowledged."
246,Post Office,Post Office,Organisation,The Post Office determined that that should be done through the mediation scheme?
251,Susan Crichton,Susan Crichton,Individual,"Well, I think it was— I mean, at that point Susan Crichton was still involved and still— there still seemed to be this a persuasive search for the truth, and it involved seeking applications from the entire network, and we wanted to get cases that could be efficiently, or even at all, investigated, and getting newer cases."
253,Horizon,Horizon,Technical System,"This conclusion at 8.2 on the right-hand side, our preliminary conclusions are, we have so far found no evidence of system-wide systemic problems with the Horizon software."
256,MPs,MPs,Organisation,"We had, I think, 29 cases from the MPs, 18 from the JFSA, that's 47 by my counting."
257,Ian,Ian,Individual,"So I think it was based on those, but of course we'd narrowed that down, we had to, because we investigating 49 cases right across the detail wasn't feasible, so that's where I think Ian came up with the good idea of spot— what we called spot reviews, just focus on events within a case and dig into those."
259,Spot Review,Spot Review,Organisation,"I think by that point we had about— we had 20-something spot reviews, but only 4 of them had really been bottomed out, and even then one of them was Spot Review 5, the Rudkin matter, which hadn't been bottomed out."
259,Rudkin,Rudkin,Individual,"I think by that point we had about— we had 20-something spot reviews, but only 4 of them had really been bottomed out, and even then one of them was Spot Review 5, the Rudkin matter, which hadn't been bottomed out."
266,Ian,Ian,Individual,"I think Ian mentioned earlier, it would have been probably better if we'd spelled out exactly what we meant by systemic."
268,the Post Office,Post Office,Organisation,"But with the benefit of hindsight, the Post Office pounced on it and, as Ian said, trumpeted it from the rooftops."
268,Ian,Ian,Individual,"But with the benefit of hindsight, the Post Office pounced on it and, as Ian said, trumpeted it from the rooftops."
269,Alan,Alan,Individual,And Alan had warned us that that would happen.
273,Alan,Alan,Individual,"Certainly he'd— Sir Alan, as we all know, pretty astute, and I think he was— he foresaw better than I did the danger of this."
274,Tim McCormack,Tim McCormack,Individual,"Can I look at something that you later said, a year and a half later, about this in a call that you had with Tim McCormack, just to explore what was meant here and what you thought this conclusion was meant to represent?"
276,McCormack,McCormack,Individual,This is a recording or a transcript of a recording that I think you made with Mr McCormack on 26 October 2015.
285,Cameron Freeman,Cameron Freeman,Individual,"We have now— I've made it clear in emails to Cameron Freeman, the Minister herself— we are now of the view that not only did systemic bugs exist during the time of these cases arising, but that systemic bugs in all likelihood definitely still exist, and then you carry on."
296,Cameron,Cameron,Individual,"So Mr Cameron— Al Cameron was one of the few witnesses that's referred to the comparative impact, the materiality of events that in Post Office's world are immaterial, but in the individual cases are hugely material."
296,Al Cameron,Al Cameron,Individual,"So Mr Cameron— Al Cameron was one of the few witnesses that's referred to the comparative impact, the materiality of events that in Post Office's world are immaterial, but in the individual cases are hugely material."
296,Post Office's,Post Office,Organisation,"So Mr Cameron— Al Cameron was one of the few witnesses that's referred to the comparative impact, the materiality of events that in Post Office's world are immaterial, but in the individual cases are hugely material."
306,PowerPoint,PowerPoint,Organisation,You're here referring to a PowerPoint proposal that we've seen many times.
307,PowerPoint,PowerPoint,Organisation,"I'm not going to go into it, but you say, by reference to that PowerPoint proposal, I suggest that no reasonable person could possibly have failed to understand that the review envisaged in my proposal was intended to address the possibility of prosecutorial misconduct."
311,Horizon,Horizon,Technical System,"So stopping there, does that sentence reflect the fact that the MPs were not concerned with whether there were intricate or arcane coding problems in the Horizon system?"
314,MPs,MPs,Organisation,"The one or two of the MPs expressed as the inquiry has already heard, a desire to sort of carry out some sort of deep code review, and we'd said it's going to be difficult to do that."
316,MPs,MPs,Organisation,"But the short answer to the question is that it was crystal clear that all of the MPs, their primary concern was that there had been prosecutorial misconduct."
319,Susan Crichton,Susan Crichton,Individual,"In 16, you say, I've subsequently learned on reading a 2-page email of 6 June 2012— you hadn't previously seen it— that Susan Crichton had summarised your PowerPoint for Paul Venells."
319,PowerPoint,PowerPoint,Organisation,"In 16, you say, I've subsequently learned on reading a 2-page email of 6 June 2012— you hadn't previously seen it— that Susan Crichton had summarised your PowerPoint for Paul Venells."
319,Paul Venells,Paul Venells,Individual,"In 16, you say, I've subsequently learned on reading a 2-page email of 6 June 2012— you hadn't previously seen it— that Susan Crichton had summarised your PowerPoint for Paul Venells."
320,PowerPoint,PowerPoint,Organisation,It's largely a cut and paste from your PowerPoint with relatively few changes.
321,Paul Venells,Paul Venells,Individual,"Having now read that email, I'm even more shocked than I was when as early as May 2013 and thereafter Paul Venells contended that Second Sight had never been invited to look for any evidence of unsafe prosecutions."
322,Paul Venells,Paul Venells,Individual,Was that something that was emphasised to you by Paul Venells?
323,Sight,Second Sight,Organisation,"that it wasn't part of Second Sight's brief, its terms of reference, to look for evidence of unsafe prosecutions?"
324,Paula Vannells,Paula Vannells,Individual,"Well, it's a matter of huge regret, and not only myself but my colleagues at Second Sight, that we had far less face-to-face contact with Paula Vannells than I would ordinarily have expected as to have, and therefore we'd been shunted down to the second level of, as I say, I think they called themselves conduits, who were, as far as we were at first aware, were conveying to us what Paula wanted and didn't want."
324,Paula,Vennells,Individual,"Well, it's a matter of huge regret, and not only myself but my colleagues at Second Sight, that we had far less face-to-face contact with Paula Vannells than I would ordinarily have expected as to have, and therefore we'd been shunted down to the second level of, as I say, I think they called themselves conduits, who were, as far as we were at first aware, were conveying to us what Paula wanted and didn't want."
327,Paula,Vennells,Individual,"But we were getting messages from Paula and Paula's intentions and desires through the conduit of people like Ojard, Allin Lyons and others."
327,Ojard,Ojard,Individual,"But we were getting messages from Paula and Paula's intentions and desires through the conduit of people like Ojard, Allin Lyons and others."
327,Allin Lyons,Allin Lyons,Individual,"But we were getting messages from Paula and Paula's intentions and desires through the conduit of people like Ojard, Allin Lyons and others."
331,Paula Venles,Paula Venles,Individual,"It's from Paula Venles, one of her staff in fact is sending it."
332,Susan Crichton,Susan Crichton,Individual,"to Susan Crichton, copy to Alice Perkins and Alwen Lyons."
332,Alice Perkins,Alice Perkins,Individual,"to Susan Crichton, copy to Alice Perkins and Alwen Lyons."
332,Alwen Lyons,Alwen Lyons,Individual,"to Susan Crichton, copy to Alice Perkins and Alwen Lyons."
333,Ron Wilmington,Ron Wilmington,Individual,"I've just met Ron Wilmington and want to put on record that he would do an excellent job for us, exactly the right quality level of engagement, etc., we're looking for."
334,Ron,Ron,Individual,I've made it very clear to Ron that our primary objective of this exercise is to be transparent and to deal with whatever outcomes and conclusions he comes to.
340,PowerPoint,PowerPoint,Organisation,Did you receive any formal feedback on the PowerPoint proposal that you presented?
349,Ms Vennells,Vennells,Individual,"After the meeting with Ms Vennells, did you believe that what— did you believe what she meant, what she said, she meant what she said rather, namely what's recorded in this email, namely the Post Office's objective, primary objective was to be transparent and deal with whatever outcomes and conclusions Second Sight reaches?"
349,the Post Office's,Post Office,Organisation,"After the meeting with Ms Vennells, did you believe that what— did you believe what she meant, what she said, she meant what she said rather, namely what's recorded in this email, namely the Post Office's objective, primary objective was to be transparent and deal with whatever outcomes and conclusions Second Sight reaches?"
353,the Post Office,Post Office,Organisation,"Do you know why, did you know why the Post Office appointed Second Sight over other forensic accountants?"
354,Ian,Ian,Individual,"As Ian said this morning, we were cheap."
356,Susan Crichton,Susan Crichton,Individual,"But I think the driving factor was that Susan Crichton, with whom I've never played tennis, incidentally, had held the view that I had form for pursuing evidence of innocence when people looked guilty, and very often finding that the innocent had been or would have otherwise been fired or worse for acts that they had not carried out themselves."
357,Citibank,Citibank,Organisation,Was that in Citibank or at GE Capital?
357,GE Capital,GE Capital,Organisation,Was that in Citibank or at GE Capital?
358,Citibank,Citibank,Organisation,Principally in Citibank.
359,GE Capital,GE Capital,Organisation,"My role at GE Capital was more sort of fraud management with an occasional investigation thrown in, whereas in Citibank it was pure investigations, often into the conduct of employees at all sorts of levels Right up to the top brass."
359,Citibank,Citibank,Organisation,"My role at GE Capital was more sort of fraud management with an occasional investigation thrown in, whereas in Citibank it was pure investigations, often into the conduct of employees at all sorts of levels Right up to the top brass."
362,Second Sight,Second Sight,Organisation,"You say, in due course, Second Sight was approved by all of the parties and a decision was made, which we later came deeply to regret, that although Second Sight's clients comprised the MPs and the JFSA as well, the contract would be between Second Sight and the Post Office, with no oversight by the MPs and only some mild oversight on behalf of the JFSA by Kay Lynell."
362,MPs,MPs,Organisation,"You say, in due course, Second Sight was approved by all of the parties and a decision was made, which we later came deeply to regret, that although Second Sight's clients comprised the MPs and the JFSA as well, the contract would be between Second Sight and the Post Office, with no oversight by the MPs and only some mild oversight on behalf of the JFSA by Kay Lynell."
362,the Post Office,Post Office,Organisation,"You say, in due course, Second Sight was approved by all of the parties and a decision was made, which we later came deeply to regret, that although Second Sight's clients comprised the MPs and the JFSA as well, the contract would be between Second Sight and the Post Office, with no oversight by the MPs and only some mild oversight on behalf of the JFSA by Kay Lynell."
362,Kay Lynell,Kay Lynell,Individual,"You say, in due course, Second Sight was approved by all of the parties and a decision was made, which we later came deeply to regret, that although Second Sight's clients comprised the MPs and the JFSA as well, the contract would be between Second Sight and the Post Office, with no oversight by the MPs and only some mild oversight on behalf of the JFSA by Kay Lynell."
363,Sight,Second Sight,Organisation,Why were you concerned when you learnt that Second Sight was to be contractually engaged only with Post Office rather than all of the interested persons?
363,Post Office,Post Office,Organisation,Why were you concerned when you learnt that Second Sight was to be contractually engaged only with Post Office rather than all of the interested persons?
364,Post Office,Post Office,Organisation,"Well, it was very clear from the outset that the subject the principal subject or subjects of the investigation were to be the postmasters, who may well have had their hands in the till, and Post Office, the 2 parties involved, and perhaps Fujitsu."
364,Fujitsu,Fujitsu,Organisation,"Well, it was very clear from the outset that the subject the principal subject or subjects of the investigation were to be the postmasters, who may well have had their hands in the till, and Post Office, the 2 parties involved, and perhaps Fujitsu."
365,Andrew Bridgen,Andrew Bridgen,Individual,"To have the subject, the principal subject of an investigation also be the paymaster is absurd, and it was Andrew Bridgen, as I say in paragraph 20, that was the most outspoken on that point, he spotted that problem right up front and was very angry about it."
367,Treasury,Treasury,Organisation,"The Treasury apparently said we haven't got any money and therefore Post Office is going to have to pay for it, but it was a daft decision."
367,Post Office,Post Office,Organisation,"The Treasury apparently said we haven't got any money and therefore Post Office is going to have to pay for it, but it was a daft decision."
368,Treasury,Treasury,Organisation,"Was that explored at the time, the Treasury being the paying client rather than the Post Office itself?"
368,the Post Office,Post Office,Organisation,"Was that explored at the time, the Treasury being the paying client rather than the Post Office itself?"
370,Oliver Letwin,Oliver Letwin,Individual,"I don't think that was— Oliver Letwin was representing the Treasury at that point and his view was it's out of the question, Post Office is going to have to pay for this, but they could have paid for it through a conduit of the Treasury."
370,Treasury,Treasury,Organisation,"I don't think that was— Oliver Letwin was representing the Treasury at that point and his view was it's out of the question, Post Office is going to have to pay for this, but they could have paid for it through a conduit of the Treasury."
370,Post Office,Post Office,Organisation,"I don't think that was— Oliver Letwin was representing the Treasury at that point and his view was it's out of the question, Post Office is going to have to pay for this, but they could have paid for it through a conduit of the Treasury."
374,Henderson,Ian Henderson,Individual,You say that you and Mr Henderson had no difficulty in coming up with suitable candidates?
380,Chris Hollyoake,Chris Hollyoake,Individual,Are those— were those 3 investigators— Chris Hollyoake?
388,Kim Evans,Kim Evans,Individual,Did Kim Evans join the investigation in about July 2014?
392,Niall Young,Niall Young,Organisation,"And lastly, Niall Young, did he join the investigation in about August 2014?"
398,Ian,Ian,Individual,"No, I think the answer is no, because by then we knew how much had been invested in acquiring the knowledge of what had been going on, and we recognised that bringing anybody in, no matter how good they were as an investigator, would then divert attention from— by Ian and myself— onto bringing that person up the curve."
406,Horizon,Horizon,Technical System,"To deal with already reported Horizon-related events, is that a fair description?"
409,ATM,ATM,Organisation,"Well, my experience as a corporate investigator meant that whenever broadly similar events occurred, whether it was ATM shortfalls or fraud by customers or whatever, the investigation team would draw those cases together and look for linkages and help— in order to help its investigators to get to grips with what systemically had gone wrong to allow that fraud or that event to occur."
413,Beer,Beer,Individual,"Well, quite frankly, Mr. Beer, it's hard to see how an investigation team could deliver an effective service to its employer without having that."
424,"The Grocer,","The Grocer,",Organisation,"news pieces, articles in The Grocer, Computer Weekly?"
424,Computer Weekly,Computer Weekly,Organisation,"news pieces, articles in The Grocer, Computer Weekly?"
426,The Sunday Times,The Sunday Times,Organisation,"Letters to The Sunday Times saying I have wrongly been gifted £2,500 worth of premium bonds, that kind of thing?"
429,the Post Office,Post Office,Organisation,And would it also include matters that had come up through any form of help desk that the Post Office or Fujitsu operated?
429,Fujitsu,Fujitsu,Organisation,And would it also include matters that had come up through any form of help desk that the Post Office or Fujitsu operated?
435,the Post Office,Post Office,Organisation,"When you were instructed and in the absence of such a compendium of material, Were you in fact made aware that— by the Post Office— that there had been acquittals of subpostmasters in criminal trials, of subpostmasters who had alleged that Horizon was responsible for the shortfall of which they were accused of either stealing or falsely accounting?"
435,Horizon,Horizon,Technical System,"When you were instructed and in the absence of such a compendium of material, Were you in fact made aware that— by the Post Office— that there had been acquittals of subpostmasters in criminal trials, of subpostmasters who had alleged that Horizon was responsible for the shortfall of which they were accused of either stealing or falsely accounting?"
436,Nicola Arch,Nicola Arch,Organisation,"No. the names Nicola Arch, Maureen McKelvie, Susan Palmer mentioned to you?"
436,Maureen McKelvie,Maureen McKelvie,Individual,"No. the names Nicola Arch, Maureen McKelvie, Susan Palmer mentioned to you?"
436,Susan Palmer,Susan Palmer,Individual,"No. the names Nicola Arch, Maureen McKelvie, Susan Palmer mentioned to you?"
438,Post Office,Post Office,Organisation,"Did the Post Office draw to your attention right at the beginning any suites of documents held by the Post Office concerning the functioning of or deficiencies in the Horizon system, including release notes documenting bug fixes?"
438,Horizon,Horizon,Technical System,"Did the Post Office draw to your attention right at the beginning any suites of documents held by the Post Office concerning the functioning of or deficiencies in the Horizon system, including release notes documenting bug fixes?"
442,the Post Office,Post Office,Organisation,"No. Did they, the Post Office, present you with documentation, and I include in that phrase memoranda, reports, emails, minutes of meetings, concerning bugs of which the Post Office was already aware, in particular the Calendar Square bug and the receipts and payments mismatch bug?"
