sentence_index,entity_raw,entity_normalised,category,sentence_text,session
15,Project Spire,Project Spire,Organisation,"I couldn't recall it at the time, and I think I say in my statement that The Deloitte work, which was named Project Spire, was not something that I remembered, but I can see that there were those 2 alternatives being discussed.",Day143
16,Second Sight,Second Sight,Organisation,"Can you remember the distinction between them, i.e., what was proposed to be done by Second Sight and what was to be done by Deloitte?",Day143
16,Deloitte,Deloitte,Organisation,"Can you remember the distinction between them, i.e., what was proposed to be done by Second Sight and what was to be done by Deloitte?",Day143
20,Project Spy,Project Spy,Organisation,The Project Spy document is a forensic investigation of the Horizon system.,Day143
20,Horizon,Horizon,Technical System,The Project Spy document is a forensic investigation of the Horizon system.,Day143
21,Horizon,Horizon,Technical System,"Sorry to interrupt, by a forensic investigation of the Horizon system, is that captured by these words here, a forensic audit?",Day143
23,Horizon,Horizon,Technical System,I would have said a detailed investigation of the Horizon system.,Day143
33,Alice Perkins,Alice Perkins,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?",Day143
33,Susan Crichton,Susan Crichton,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?",Day143
33,Alwen Lyons,Alwen Lyons,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?",Day143
33,Simon Baker,Simon Baker,Individual,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?",Day143
33,Deloitte,Deloitte,Organisation,"And do you see in the box that's at the bottom of the screen there, it's recorded that on the 7th of June 2012, a meeting is held between you, Alice Perkins, Susan Crichton, Alwen Lyons and Simon Baker, where the Deloitte and Second Sight proposals are discussed?",Day143
35,Second Sight,Second Sight,Organisation,And Second Sight was chosen as the preferred supplier?,Day143
37,Deloitte,Deloitte,Organisation,Why was Second Sight proposal preferred to that of Deloitte?,Day143
39,Deloitte,Deloitte,Organisation,"I was concerned that any one of the Big Four, Deloitte being one of them, may have come across too corporate and wouldn't necessarily have had the understanding of running a post office for small retail businesses.",Day143
45,Project Spire,Project Spire,Organisation,"And the reason I feel sure about that recollection is that when, in preparing for today, I looked at what was called the Project Spire document, I was quite surprised about the detail in it, and one of my reflections now is that actually that would have been a very good piece of work to have done, because it may have brought more data to the fore than we knew.",Day143
49,Horizon,Horizon,Technical System,Rather than auditing the Horizon system as a whole?,Day143
53,Horizon,Horizon,Technical System,"What would you say to the suggestion that a deliberate choice was made to pick a proposal that was much narrower in scope, that only looked at a sample of past cases rather than auditing the Horizon system as a whole?",Day143
56,Deloitte,Deloitte,Organisation,"You agree, I think, cutting to the chase, that it would have been preferable looking back now had Deloitte been chosen, because their proposal may or even would have brought to the surface, if carried through to its conclusion, many of the issues that were subsequently discovered?",Day143
59,Deloitte,Deloitte,Organisation,"Whether Deloitte would in fact have surfaced some of the other important areas that Second Sight did, I don't know, because I think one of the other outcomes of this has been the right decision, was looking at the contract, and that may not have surfaced through the Deloitte work, which was particularly focused on the system itself.",Day143
59,Sight,Second Sight,Organisation,"Whether Deloitte would in fact have surfaced some of the other important areas that Second Sight did, I don't know, because I think one of the other outcomes of this has been the right decision, was looking at the contract, and that may not have surfaced through the Deloitte work, which was particularly focused on the system itself.",Day143
61,Second Sight,Second Sight,Organisation,"reference, or at least an early copy of the terms of reference that were settled for Second Sight, poll 3096576.",Day143
68,Horizon,Horizon,Technical System,"The sample needs to cover cases where defendants claim they didn't take any cash, where assertions have been made that the system, i.e., Horizon, caused the shortage, including old and new versions of Horizon if possible, and which have been taken up by MPs.",Day143
69,Horizon,Horizon,Technical System,"And then if you look at the last— the second-to-last bullet point, study and selectively test the Horizon system in order to find any black hole, programme bug, etcetera, that might have caused mysterious shortages.",Day143
70,Horizon,Horizon,Technical System,"What's described there, selecting a representative sample of cases that led to prosecutions or court-appointed restitutions, systems and then study and selectively test the Horizon system in order to find bugs, for shorthand, that may have caused mysterious shortages, was exactly what was needed, wasn't it?",Day143
73,the Post Office,Post Office,Organisation,"The work that Second Sight— well, the Post Office and Second Sight did over this quite a long period of time, didn't come to a final conclusion, no.",Day143
73,Second Sight,Second Sight,Organisation,"The work that Second Sight— well, the Post Office and Second Sight did over this quite a long period of time, didn't come to a final conclusion, no.",Day143
83,the Post Office,Post Office,Organisation,We'll see how things got changed by the Post Office.,Day143
86,the Court of Appeal,the Court of Appeal,Organisation,"Would you agree that if what is described here in those 2 bullet points that I have identified had in fact been undertaken, again there is, to use the may word, a possibility that the decade that followed until faults in Horizon and the miscarriages of justice identified by the Court of Appeal may have been discovered earlier?",Day143
88,Susan Crichton,Susan Crichton,Individual,"I saw in the inquiry documentation that there is a piece of advice that Susan Crichton sought from Richard Morgan QC, where he said that he thought that the advice was that the Post Office really shouldn't get into this at all because it would be a no-win situation.",Day143
88,Richard Morgan QC,Richard Morgan QC,Individual,"I saw in the inquiry documentation that there is a piece of advice that Susan Crichton sought from Richard Morgan QC, where he said that he thought that the advice was that the Post Office really shouldn't get into this at all because it would be a no-win situation.",Day143
88,the Post Office,Post Office,Organisation,"I saw in the inquiry documentation that there is a piece of advice that Susan Crichton sought from Richard Morgan QC, where he said that he thought that the advice was that the Post Office really shouldn't get into this at all because it would be a no-win situation.",Day143
96,Richard Morgan's,Richard Morgan's,Individual,"I.e., had you— and I think you mean the executive and the board— known about Richard Morgan's advice, you may have approached things differently in what way?",Day143
99,the Post Office,Post Office,Organisation,"Let's look at what the Post Office did in relation, in particular, to Criminal cases.",Day143
99,Criminal,Criminal,Organisation,"Let's look at what the Post Office did in relation, in particular, to Criminal cases.",Day143
104,Alice Perkins,Alice Perkins,Individual,"There is an email from Alice Perkins of 9 June, 9:36, to you.",Day143
108,MPs,MPs,Organisation,"I am clear that we should include all, in capital letters, the MPs' cases, irrespective of whether they have been decided in court.",Day143
116,Olwen,Olwen,Organisation,"And then if we go a little bit further up, Olwen replies to you, and I think to you alone, Paula, in case Susan doesn't pick up— pick this up as she's in Berlin and before you speak to Alice.",Day143
116,Paula,Vennells,Individual,"And then if we go a little bit further up, Olwen replies to you, and I think to you alone, Paula, in case Susan doesn't pick up— pick this up as she's in Berlin and before you speak to Alice.",Day143
116,Susan,Susan Crichton,Individual,"And then if we go a little bit further up, Olwen replies to you, and I think to you alone, Paula, in case Susan doesn't pick up— pick this up as she's in Berlin and before you speak to Alice.",Day143
116,Alice,Alice,Individual,"And then if we go a little bit further up, Olwen replies to you, and I think to you alone, Paula, in case Susan doesn't pick up— pick this up as she's in Berlin and before you speak to Alice.",Day143
117,Mishra,Mishra,Individual,The issue that came to light with the list of MP cases was that they included the Mishra— I think that's Seema Misra.,Day143
117,Seema Misra,Seema Misra,Individual,The issue that came to light with the list of MP cases was that they included the Mishra— I think that's Seema Misra.,Day143
122,Susan,Susan Crichton,Individual,"Susan's anxiety, and she raised this at the meeting with Alice before you joined, was whether now contacting her to tell her we review the case would be a red rag to a bull.",Day143
122,Alice,Alice,Individual,"Susan's anxiety, and she raised this at the meeting with Alice before you joined, was whether now contacting her to tell her we review the case would be a red rag to a bull.",Day143
123,Alice,Alice,Individual,"Alice feels this is the business pushing back unnecessarily, and she feels this happened throughout the process, and she is having to keep pushing us.",Day143
124,Susan,Susan Crichton,Individual,Susan's getting a external advice on the effect that this would have on cases which have been brought through the courts.,Day143
126,Alice Perkins,Alice Perkins,Individual,"Did you agree with Alice Perkins that all cases should be included in the independent review, even if they involved criminal convictions?",Day143
128,Alice Perkins,Alice Perkins,Individual,Did you agree with Alice Perkins that the business was pushing back unnecessarily against that?,Day143
129,Alice,Alice,Organisation,"I don't think I knew that, and I think this was— so the bit of admin that we skipped over is I say that I'll call Alice, which I did, and I think she explained to me the conversation that she had had.",Day143
131,Chair,Chair,Individual,Who would be the business that was pushing back unnecessarily against the Chair?,Day143
132,Susan,Susan Crichton,Individual,"Well, the only thing that I can think is relating back to this piece of advice that Susan sought from Richard Morgan, which was very clear advice to her, and one assumes that she would have— she was in a meeting, she discussed it in a meeting, and one assumes that that must have alerted her to maybe needing to take different approaches with cases like Mrs Misra's, for instance, but I wasn't involved in those conversations.",Day143
132,Richard Morgan,Richard Morgan,Individual,"Well, the only thing that I can think is relating back to this piece of advice that Susan sought from Richard Morgan, which was very clear advice to her, and one assumes that she would have— she was in a meeting, she discussed it in a meeting, and one assumes that that must have alerted her to maybe needing to take different approaches with cases like Mrs Misra's, for instance, but I wasn't involved in those conversations.",Day143
132,Mrs Misra's,Mrs Misra's,Organisation,"Well, the only thing that I can think is relating back to this piece of advice that Susan sought from Richard Morgan, which was very clear advice to her, and one assumes that she would have— she was in a meeting, she discussed it in a meeting, and one assumes that that must have alerted her to maybe needing to take different approaches with cases like Mrs Misra's, for instance, but I wasn't involved in those conversations.",Day143
133,Susan,Susan Crichton,Individual,"I'm not sure, there is a further pushback, I can't remember if it's before this or after, where the terms of reference which are prepared by, again I think Susan, refer to defence documents and Alice comes back and says no, it should be all of the documentation.",Day143
133,Alice,Alice,Individual,"I'm not sure, there is a further pushback, I can't remember if it's before this or after, where the terms of reference which are prepared by, again I think Susan, refer to defence documents and Alice comes back and says no, it should be all of the documentation.",Day143
134,Susan Crichton,Susan Crichton,Individual,So the business here you take— pushing back unnecessarily— you take to mean shorthand for Susan Crichton?,Day143
136,Susan Crichton,Susan Crichton,Individual,"team, yes, I think it was Susan Crichton and Hugh Flemington who were at the meeting.",Day143
136,Hugh Flemington,Hugh Flemington,Individual,"team, yes, I think it was Susan Crichton and Hugh Flemington who were at the meeting.",Day143
137,Alice,Alice,Individual,"It says that this has happened, or it's Alice's view that this has happened throughout the process.",Day143
139,Alice,Alice,Organisation,"Not until I spoke to Alice, which I did I think on the Saturday morning.",Day143
141,Mrs Misra's,Mrs Misra's,Organisation,Did you think that Mrs Misra's case should be included in an independent review?,Day143
144,Ms Crichton's,Ms Crichton's,Individual,Did you share Ms Crichton's concerns recorded here that even contacting Ms Misra would be a red rag to a bull?,Day143
144,Ms Misra,Ms Misra,Organisation,Did you share Ms Crichton's concerns recorded here that even contacting Ms Misra would be a red rag to a bull?,Day143
145,Post Office,Post Office,Organisation,No. Did you know that Post Office was getting external advice on the effect that bringing such cases within the review would have?,Day143
146,Alwyn,Alwen Lyons,Individual,"Well, clearly I did, in the sense that Alwyn mentions it in the final line on this email.",Day143
148,Susan,Susan Crichton,Individual,"If Susan was seeking advice on something of a legal nature, A, I would expect her to do that, and then I would listen to whatever that advice was.",Day143
149,Post Office,Post Office,Organisation,Do you know what external advice the Post Office did take regarding the effect of including cases like Seema Misra's in the independent review?,Day143
149,Seema Misra's,Seema Misra,Individual,Do you know what external advice the Post Office did take regarding the effect of including cases like Seema Misra's in the independent review?,Day143
151,Richard Morgan,Richard Morgan,Individual,I certainly didn't see the Richard Morgan advice.,Day143
155,Beer,Beer,Individual,"date readily to hand to remind me of when that was, Mr. Beer?",Day143
162,Board,Board,Organisation,"Did you and therefore the Board take the— not take the advice given, as you now know, by Richard Morgan and Casey into account in deciding the scope of Second Sight's review?",Day143
162,Richard Morgan,Richard Morgan,Individual,"Did you and therefore the Board take the— not take the advice given, as you now know, by Richard Morgan and Casey into account in deciding the scope of Second Sight's review?",Day143
162,Casey,Casey,Individual,"Did you and therefore the Board take the— not take the advice given, as you now know, by Richard Morgan and Casey into account in deciding the scope of Second Sight's review?",Day143
162,Sight,Second Sight,Organisation,"Did you and therefore the Board take the— not take the advice given, as you now know, by Richard Morgan and Casey into account in deciding the scope of Second Sight's review?",Day143
163,Alice Perkins,Alice Perkins,Individual,"No, I don't believe— you would have to ask Alice Perkins, but I don't believe that Alice Perkins or the Board knew of that advice.",Day143
163,Board,Board,Organisation,"No, I don't believe— you would have to ask Alice Perkins, but I don't believe that Alice Perkins or the Board knew of that advice.",Day143
164,Susan,Susan Crichton,Individual,"But Susan had had a conversation with Alice that I was not involved in, so it's possible it was shared in that meeting, but my understanding is not.",Day143
164,Alice,Alice,Individual,"But Susan had had a conversation with Alice that I was not involved in, so it's possible it was shared in that meeting, but my understanding is not.",Day143
168,David Oliver,David Oliver,Individual,"This is a minute, I think, from, as we can see, David Oliver to you, copied to others, of 5 February 2013.",Day143
169,David Oliver,David Oliver,Individual,Could you explain who David Oliver was?,Day143
170,David Oliver,David Oliver,Individual,"David Oliver, I believe, was on a short-term contract, maybe a year or two.",Day143
171,PA Consulting,PA Consulting,Organisation,He was either a consultant with PA Consulting or had left them and came to the Post Office and was working on the Project Sparrow work.,Day143
171,the Post Office,Post Office,Organisation,He was either a consultant with PA Consulting or had left them and came to the Post Office and was working on the Project Sparrow work.,Day143
177,the Post Office,Post Office,Organisation,He sends this minute to you and others regarding essentially options that the Post Office could take to deliver the scheme in a timely fashion.,Day143
181,Post Office,Post Office,Organisation,We identified 3 broad courses of action that might be taken to improve the ability of Post Office successfully to deliver the mediation scheme in a timely fashion.,Day143
182,Second Sight,Second Sight,Organisation,"Can we look at page 2, please, and scroll down to what was the 3rd option, Plan C, a contingency plan to replace Second Sight if they refuse to work on the scheme under terms which the Post Office find acceptable.",Day143
182,Post Office,Post Office,Organisation,"Can we look at page 2, please, and scroll down to what was the 3rd option, Plan C, a contingency plan to replace Second Sight if they refuse to work on the scheme under terms which the Post Office find acceptable.",Day143
183,Grant Thornton,Grant Thornton,Individual,Engagement of a professional accountancy firm such as Grant Thornton to replace Second Sight entirely.,Day143
183,Second Sight,Second Sight,Organisation,Engagement of a professional accountancy firm such as Grant Thornton to replace Second Sight entirely.,Day143
184,Sight,Second Sight,Organisation,It's possible that Second Sight will refuse to work under the proposed terms of engagement from the Post Office.,Day143
184,the Post Office,Post Office,Organisation,It's possible that Second Sight will refuse to work under the proposed terms of engagement from the Post Office.,Day143
185,Post,Post,Organisation,"Office, and that they may attempt to insist terms that neither you or the Post— or the Board can accept.",Day143
185,Board,Board,Organisation,"Office, and that they may attempt to insist terms that neither you or the Post— or the Board can accept.",Day143
186,Post Office,Post Office,Organisation,"In this scenario, they may either walk away from the scheme or Post Office may have to end their engagement.",Day143
192,Sight,Second Sight,Organisation,"By this time, was it anticipated that Second Sight would refuse to work under the terms of engagement that the Post Office required?",Day143
192,Post Office,Post Office,Organisation,"By this time, was it anticipated that Second Sight would refuse to work under the terms of engagement that the Post Office required?",Day143
197,Sight,Second Sight,Organisation,A was clarification of Second Sight's engagement.,Day143
207,Bates,Alan Bates,Individual,"If we just look at the foot of page 1, we'll see an email from Mr Bates to you of 21 May 2013.",Day143
208,Paula,Vennells,Individual,"And he says, hello, Paula, it's been a while since we met at James R. Buttnott's office, but at that time you did say that if I had any concerns I should contact you directly, hence the reason for this email.",Day143
208,James R. Buttnott's,James R. Buttnott's,Individual,"And he says, hello, Paula, it's been a while since we met at James R. Buttnott's office, but at that time you did say that if I had any concerns I should contact you directly, hence the reason for this email.",Day143
209,Kay Lynell,Kay Lynell,Individual,Would it be possible for Kay Lynell and I to meet you?,Day143
210,Kay,Kay Lynell,Individual,"You'll recall that Kay is an independent forensic accountant who, on behalf of JFSA, has been monitoring the work Second Sight has been undertaking.",Day143
210,Second Sight,Second Sight,Organisation,"You'll recall that Kay is an independent forensic accountant who, on behalf of JFSA, has been monitoring the work Second Sight has been undertaking.",Day143
214,the Post Office,Post Office,Organisation,I've little doubt it's now feasible to show that many of the prosecutions that the Post Office has pressed home should never have taken place.,Day143
215,Kay,Kay Lynell,Individual,I believe this is a view shared by Kay.,Day143
217,Bates,Alan Bates,Individual,But why Mr Bates was saying that it was feasible that many prosecutions that the Post Office had undertaken should never have taken place?,Day143
217,the Post Office,Post Office,Organisation,But why Mr Bates was saying that it was feasible that many prosecutions that the Post Office had undertaken should never have taken place?,Day143
223,Post Office,Post Office,Organisation,"Maybe not too long after this, but as we were approaching the production of the interim I remember being surprised about some of the conclusions that were being reached, because the criticisms from Post Office were that their work hadn't been taken into account.",Day143
224,Post Office's,Post Office,Organisation,"So I think at this stage, possibly not, other than feedback that the work was going too slowly and Post Office's input either hadn't taken place or Second Sight— there were concerns being raised perhaps that Second Sight were not taking account of it.",Day143
225,the Post Office,Post Office,Organisation,"Would you have been very concerned reading an email like this, that the person representing a key stakeholder, JFSA, was saying that the prosecutions, and many of them, that the Post Office had brought ought never to have taken place?",Day143
226,Alan,Alan,Individual,"I was concerned to get the email from Alan, certainly.",Day143
228,Bates,Alan Bates,Individual,"Is that how you would have thought of it, that this is just Mr Bates saying something that he's always said?",Day143
230,Bates,Alan Bates,Individual,"I think that I went back to my team and said— because I had said to Mr Bates that if he needed to, he should get in touch.",Day143
232,Bates,Alan Bates,Individual,"You know, I've offered to meet Mr Bates.",Day143
244,Susan Crichton,Susan Crichton,Individual,"At this stage I would have talked to whoever was leading the work on this, so Susan Crichton, Alwen Lyons, I can't remember who else, Simon Baker, presumably David Oliver whose name we've seen.",Day143
244,Alwen Lyons,Alwen Lyons,Individual,"At this stage I would have talked to whoever was leading the work on this, so Susan Crichton, Alwen Lyons, I can't remember who else, Simon Baker, presumably David Oliver whose name we've seen.",Day143
244,Simon Baker,Simon Baker,Individual,"At this stage I would have talked to whoever was leading the work on this, so Susan Crichton, Alwen Lyons, I can't remember who else, Simon Baker, presumably David Oliver whose name we've seen.",Day143
244,David Oliver,David Oliver,Individual,"At this stage I would have talked to whoever was leading the work on this, so Susan Crichton, Alwen Lyons, I can't remember who else, Simon Baker, presumably David Oliver whose name we've seen.",Day143
245,Bates,Alan Bates,Individual,"Were you then getting feedback on the state of the investigation by Second Sight in order to be able to say essentially, Mr Bates, you're jumping the gun?",Day143
246,Alan,Alan,Individual,"I'm almost certain that when I got Alan's note that I went to the team and said, I've had this note, what's the current status?",Day143
247,Bates,Alan Bates,Individual,"And as I say here, I would like to meet with Mr Bates.",Day143
250,Deloitte,Deloitte,Organisation,"Do you know how it came about that what started as a debate between the choice of Deloitte conducting a full forensic audit of Horizon, Second Sight conducting a review of past cases that would be a representative sample, but include some testing of the integrity of the Horizon system.",Day143
250,Horizon,Horizon,Technical System,"Do you know how it came about that what started as a debate between the choice of Deloitte conducting a full forensic audit of Horizon, Second Sight conducting a review of past cases that would be a representative sample, but include some testing of the integrity of the Horizon system.",Day143
253,Sight,Second Sight,Organisation,"My recollection is that the team— what I can recall is frustration from the team that the work Second Sight was doing had moved away from focusing on individual cases to development of themes, and what they were trying to do at this stage, and Second Sight as well, to be fair, was to try and corral this back into a piece of work which could have a report which could be fed back to the MPs before we got to recess in just a number of— small number of weeks after this.",Day143
254,Second Sight,Second Sight,Organisation,"That's my recollection, and that, that was a— to misuse a word in this context, but that was the theme that ran through, which was Second Sight will focusing on themes rather than on individual cases.",Day143
256,the Post Office,Post Office,Organisation,"And so was it the Post Office, in your view, or Second Sight that narrowed focus down to a very small number of cases?",Day143
257,Second Sight,Second Sight,Organisation,"My view is it was both, because both Second Sight and the Post Office had a commitment to Lord Arbuthnot and the MPs to get some work out for people to look at, and we were now very— not quite a year, but sort of 10 months into this.",Day143
257,the Post Office,Post Office,Organisation,"My view is it was both, because both Second Sight and the Post Office had a commitment to Lord Arbuthnot and the MPs to get some work out for people to look at, and we were now very— not quite a year, but sort of 10 months into this.",Day143
259,Susan Crichton,Susan Crichton,Individual,"Were you aware of a view amongst the lawyers in In particular Susan Crichton, that if we review a large number of cases, that might open the floodgates to damages claims by subpostmasters?",Day143
263,Richard Morgan Casey,Richard Morgan Casey,Individual,"Can we go to the— this is slightly out of order, but it's in order to answer the Chairman's question from earlier, the Richard Morgan Casey advice.",Day143
267,Board,Board,Organisation,"And to the best of your knowledge, the Board was not aware?",Day143
269,Alice Perkins,Alice Perkins,Individual,"The only possible— the only person who could possibly be aware, it might have been Alice Perkins in that conversation Susan had had, but actually looking at the date of this, I think this comes afterwards, doesn't it?",Day143
269,Susan,Susan Crichton,Individual,"The only possible— the only person who could possibly be aware, it might have been Alice Perkins in that conversation Susan had had, but actually looking at the date of this, I think this comes afterwards, doesn't it?",Day143
273,Horizon,Horizon,Technical System,"In fact, a decision had been made, it seems, already at the meeting of 7 June 2012, not to instruct an expert to prepare a report, a forensic audit of the Horizon system, hadn't it?",Day143
276,Morgan,Morgan,Individual,"And I'm not going to attribute any of these words to anyone, because when he gave evidence, Mr Morgan took the point that it's not clear that it's him speaking here.",Day143
279,Horizon,Horizon,Technical System,It will not be able to address any of the civil or criminal cases dealt with under old Horizon.,Day143
280,Horizon,Horizon,Technical System,"Was that advice communicated back to you, that an independent report couldn't look at civil or criminal cases dealt with under old Horizon?",Day143
285,The Post Office,Post Office,Organisation,The Post Office will be damned if they do and damned if they don't.,Day143
286,Horizon,Horizon,Technical System,"If the findings are that there are no issues with Horizon, people will see that as a whitewash.",Day143
288,Access Legal,Access Legal,Organisation,"Whereas if the findings are negative, that will open the floodgates to damages claims by subpostmasters who were imprisoned for false accounting, and Access Legal— that's part of Shoesmiths— will start to pursue the civil cases they're currently sitting on.",Day143
288,Shoesmiths,Shoesmiths,Organisation,"Whereas if the findings are negative, that will open the floodgates to damages claims by subpostmasters who were imprisoned for false accounting, and Access Legal— that's part of Shoesmiths— will start to pursue the civil cases they're currently sitting on.",Day143
294,Deloitte,Deloitte,Organisation,We best not ask for the Deloitte report because if it discovers too much we may face damages claims.,Day143
298,Second Sight,Second Sight,Organisation,"And as I say, in the meeting where we took the decision to go with Second Sight, I don't remember looking at 2 separate sets of documents and comparing and contrasting.",Day143
303,Alwen Lyons,Alwen Lyons,Individual,"And if we scroll down and look at the text, the message from Alwen Lyons, it's dated the 28th of June 2013.",Day143
304,the Second Sight Interim Report,the Second Sight Interim Report,Organisation,"We're getting quite close here to the date of the production of the Second Sight Interim Report, aren't we?",Day143
308,Ms Lyons,Ms Lyons,Organisation,"But if you look at the 4th bullet point, Ms Lyons says to you that she is going to spend time with Janet.",Day143
308,Janet,Janet,Individual,"But if you look at the 4th bullet point, Ms Lyons says to you that she is going to spend time with Janet.",Day143
309,Janet Walker,Janet Walker,Individual,Is that Janet Walker?,Day143
311,Janet Walker,Janet Walker,Individual,Remind us who Janet Walker was.,Day143
312,Janet Walker,Janet Walker,Individual,Janet Walker was the executive assistant for Lord Arbuthnot.,Day143
314,Arbuthnot,James Arbuthnot,Individual,"My approach will be to try and get— sorry, to try to get to understand the status of the review and the risk to Lord Arbuthnot and us of an incomplete interim report.",Day143
316,Rod/Leslie,Rod/Leslie,Organisation,"I do think this is the right place to share the bugs we found and how we have dealt with them, which is why the report from Rod/Leslie, checked by legal and Mark, is important.",Day143
316,Mark,Mark,Individual,"I do think this is the right place to share the bugs we found and how we have dealt with them, which is why the report from Rod/Leslie, checked by legal and Mark, is important.",Day143
317,Janet,Janet,Individual,My objective is to get Janet to a place where she also wants the meeting to be cancelled.,Day143
318,Alice Perkins,Alice Perkins,Individual,"And then if we scroll up, please, we'll see your reply sending on to Alice Perkins.",Day143
319,Alice,Alice,Individual,"The second paragraph, you'll see below Alice's— Olwen's proposed next steps covers all the ground.",Day143
319,Olwen,Olwen,Individual,"The second paragraph, you'll see below Alice's— Olwen's proposed next steps covers all the ground.",Day143
321,the Post Office,Post Office,Organisation,On what basis did you understand the Post Office had determined that Second Sight were not using all of the evidence that the Post Office had given them?,Day143
327,the Post Office's,Post Office,Organisation,"What I was told is that they hadn't, because this had run on too long, they hadn't yet had time to take account of the Post Office's view in the investigations they were doing.",Day143
329,the Post Office,Post Office,Organisation,"Was there any— sorry, I beg your pardon, they may have been getting it wrong because they hadn't yet taken account of the input from the Post Office.",Day143
332,Post Office,Post Office,Organisation,"My very clear recollection is this was simply— to describe it more colloquially, the team felt it was unfair because Post Office hadn't had the opportunity to contribute yet.",Day143
333,Second Sight,Second Sight,Organisation,"Whether that was true or not, I didn't check that with Second Sight, but what I was told is that the work was so far behind that Second Sight had yet to take account of the Post Office's input.",Day143
333,the Post Office's,Post Office,Organisation,"Whether that was true or not, I didn't check that with Second Sight, but what I was told is that the work was so far behind that Second Sight had yet to take account of the Post Office's input.",Day143
338,Susan,Susan Crichton,Individual,"Susan, And I think David Oliver, but that's only— I only remember by having seen his name today.",Day143
338,David Oliver,David Oliver,Individual,"Susan, And I think David Oliver, but that's only— I only remember by having seen his name today.",Day143
339,the Post Office,Post Office,Organisation,What evidence were you told that the Post Office had provided to Second Sight that they were not using or taking account of?,Day143
341,Post Office,Post Office,Organisation,"They were looking at a number of— they were looking at a number of cases, is my understanding, and these cases raised different issues, so it would have been whatever data the Post Office needed to present about the issue that was being investigated.",Day143
343,Kay Lynell,Kay Lynell,Individual,"I was told that, and I knew, I think, because we had agreed to fund Kay Lynell to support to the JFSA, I was told that they— I think, if I remember the timing correctly, that they had been asked by Lord Arbuthnot to keep the JFSA happy.",Day143
344,Post Office,Post Office,Organisation,"And I don't think we had any problem with that until the team began to raise these questions that perhaps because of that second sight were not looking at the Post Office work, but I'm probably now speculating too much, to be fair.",Day143
345,Second Sight,Second Sight,Organisation,Did you tell Second Sight that they were being unfair on the Post Office by not taking account of the evidence that the Post Office was giving to them?,Day143
